cs_sold_time_sk,cs_ship_date_sk,cs_bill_customer_sk,cs_bill_cdemo_sk,cs_bill_hdemo_sk,cs_bill_addr_sk,cs_ship_customer_sk,cs_ship_cdemo_sk,cs_ship_hdemo_sk,cs_ship_addr_sk,cs_call_center_sk,cs_catalog_page_sk,cs_ship_mode_sk,cs_warehouse_sk,cs_item_sk,cs_promo_sk,cs_order_number,cs_quantity,cs_wholesale_cost,cs_list_price,cs_sales_price,cs_ext_discount_amt,cs_ext_sales_price,cs_ext_wholesale_cost,cs_ext_list_price,cs_ext_tax,cs_coupon_amt,cs_ext_ship_cost,cs_net_paid,cs_net_paid_inc_tax,cs_net_paid_inc_ship,cs_net_paid_inc_ship_tax,cs_net_profit,cs_sold_date_sk
58381.0,2451824.0,31620.0,893051.0,2691.0,46005.0,74743.0,874163.0,7126.0,41889.0,5.0,6820.0,1.0,5.0,8413,116.0,90878,93.0,45.55,150.95,20.31,7827.25,2596.88,3229.19,5417.01,75.47,0.0,2512.78,2626.21,1893.95,5907.12,7449.02,-2971.03,2452436.0
38658.0,2451943.0,76452.0,619605.0,563.0,641.0,87252.0,401662.0,320.0,14957.0,5.0,4316.0,14.0,3.0,12292,200.0,98971,54.0,72.0,89.1,79.76,6997.8,153.31,4416.76,1757.32,8.77,1743.55,1353.89,344.0,0.0,2033.53,2772.91,-1733.79,2451939.0
68072.0,2452664.0,32032.0,265859.0,3395.0,32099.0,31199.0,1401078.0,2448.0,29900.0,2.0,223.0,20.0,5.0,5995,214.0,27062,78.0,72.31,142.09,58.21,6959.5,5768.16,3574.26,10275.32,28.54,0.55,5631.33,4627.62,5387.92,8170.66,6843.82,-5314.67,2452573.0
82647.0,2451783.0,87476.0,109611.0,3137.0,7597.0,86802.0,213078.0,5990.0,34126.0,1.0,3477.0,7.0,5.0,7301,147.0,60136,6.0,1.0,4.74,62.82,0.0,0.0,320.9,62.05,0.0,0.0,2.98,0.0,13.0,0.0,0.0,262.55,2451673.0
4706.0,2451622.0,80805.0,1146681.0,739.0,39033.0,92055.0,1091125.0,758.0,48410.0,4.0,2215.0,17.0,4.0,14897,151.0,65668,,80.33,144.7,105.36,4548.04,3259.92,2482.83,7059.78,0.0,0.0,308.52,3311.72,5398.47,2728.25,5300.97,-1986.75,2451480.0
29279.0,2450985.0,31684.0,296498.0,6090.0,44867.0,31477.0,240234.0,1236.0,7176.0,4.0,167.0,14.0,5.0,16888,278.0,26103,79.0,25.52,291.46,46.37,8797.36,2564.54,4901.96,7048.51,157.95,0.0,2619.84,3574.74,4407.81,5245.88,6316.27,-1226.74,2451025.0
37564.0,2451141.0,25361.0,1422195.0,937.0,6867.0,63812.0,1498662.0,783.0,8252.0,1.0,1044.0,3.0,4.0,9618,72.0,31160,47.0,75.71,123.93,37.74,1831.56,1720.86,4722.93,4568.3,6.89,0.0,2489.52,1871.0,1665.44,2282.17,3790.69,-3015.16,2451231.0
44695.0,2450817.0,59590.0,804359.0,4763.0,33582.0,66822.0,,3864.0,2488.0,4.0,208.0,16.0,5.0,3056,261.0,7767,37.0,36.78,9.49,0.0,69.05,0.0,120.29,147.04,0.65,0.0,0.0,26.98,63.83,154.8,70.66,510.86,2450841.0
31259.0,2451173.0,47032.0,678258.0,4190.0,43869.0,42886.0,797164.0,1171.0,47389.0,2.0,156.0,4.0,3.0,14150,11.0,11903,95.0,44.13,63.26,47.19,2060.62,2013.81,1063.7,4523.56,196.98,0.0,423.28,6563.46,3757.22,4745.23,2511.75,63.68,2451040.0
25398.0,2451245.0,9528.0,876540.0,6539.0,29076.0,13943.0,1025700.0,6785.0,36390.0,4.0,309.0,17.0,5.0,4270,198.0,29103,45.0,95.66,261.45,126.68,1949.43,13026.5,2762.74,21528.83,196.3,0.0,2656.47,5943.95,1519.1,3220.61,17555.68,4256.84,2451218.0
